Confirmed,Death,recovered
19644,1433,6745
20610,1556,7635
21638,1685,7931
23049,1812,7931
24811,1934,8913
27017,2077,9625
29406,2234,10457
32332,2378,11133
35408,2517,11679
38309,2640,12391
41495,2757,13911
44605,2898,14656
47593,3036,15473
50468,3160,16711
53183,3294,17935
55743,3452,19736
58226,3603,19736
60500,3739,24236
62589,3872,27039
64586,3993,29812
66220,4110,32309
68192,4232,35465
70029,4357,41947
71686,4474,43894
73303,4585,45983
74877,4683,48129
76389,4777,49933
77995,4869,52229
79494,4958,54064
80868,5031,55987
82211,5118,57023
83505,5209,59273
84802,5297,60965
85996,5391,63113
87026,5481,64843
88194,5574,66599
89328,5650,68193
90481,5710,69657
91472,5806,70933
92584,5877,72439
93657,5957,73791
94640,6028,75103
95646,6091,76318
96448,6156,77350
97424,6203,78422
98647,6277,79379
99970,6340,80475
101650,6418,81587
103135,6486,82744
104691,6541,83837
106220,6589,85064
107603,6640,86143
109286,6685,87422
110767,6733,88357
112725,6783,89428
114533,6854,90539
116635,6902,91836
118392,6937,93147
120198,6988,94464
122492,7057,95661
124603,7119,97173
126949,7183,98808
129341,7249,100564
131652,7300,102276
133521,7359,104072
135701,7417,105801
137724,7451,107713
139511,7508,109437
141591,7564,111176
143849,7627,112988
146668,7677,114931
148950,7734,116827
151466,7797,118848
154445,7878,121004
157562,7942,123077
160696,8012,125206
164270,8071,127485
167156,8134,129741
169425,8209,132038
171789,8281,134349
173832,8351,136360
175927,8425,138457
177938,8506,140590
180156,8584,142663
182525,8659,144649
184955,8730,146748
187427,8837,148674
189876,8950,150590
192439,9065,152675
195051,9185,154812
197647,9272,156991
200262,9392,159192
202584,9507,161384
204952,9623,163591
207525,9742,166427
209970,9863,169160
212501,9996,172096
215096,10130,175103
217724,10239,177852
220180,10364,180661
222669,10508,183310
225205,10670,186180
227662,10817,188758
230211,10958,191487
232863,11106,194098
235429,11260,196446
237878,11408,198949
240438,11571,201330
243051,11731,204083
245688,11931,207000
248379,12084,209463
250458,12305,212176
252720,12447,215015
255117,12635,217666
257303,12829,219993
259652,13032,222539
262173,13211,225270
264561,13410,227561
267061,13608,230608
269440,13791,232873
271606,13979,235300
273788,14188,237788
276202,14405,240087
278827,14634,242351
281413,14853,244840
284034,15074,247230
286523,15289,249212
288839,15484,251319
291172,15700,253213
293606,15912,255144
296273,16147,257019
298909,16343,259116
301530,16569,261200
304204,16766,263519
306752,16982,265830
309437,17190,268102
312035,17405,270228
314786,17617,272535
317483,17802,274932
320117,17976,277463
322567,18132,279724
324692,18264,282122
326712,18427,284371
328844,18616,286642
331189,18800,288620
333699,18988,290244
336324,19162,292058
338825,19331,293811
341070,19492,295630
343203,19639,297486
345450,19804,299157
347835,19972,300881
350279,20125,302528
352558,20264,304236
354764,20376,305866
356792,20502,307702
358905,20643,309464
361150,20776,311365
363363,20901,313058
365606,21020,314870
367796,21137,316638
369911,21249,318270
371816,21359,319847
373570,21462,321421
375212,21571,323233
376894,21672,325124
378752,21797,326801
380746,21926,328595
382772,22044,330308
384666,22154,332131
386658,22293,333900
388810,22410,335572
391112,22542,337414
393425,22669,339111
395488,22798,340842
397801,22913,342539
399940,23029,344516
402029,23157,346242
404648,23313,348013
407353,23453,349984
410334,23632,352019
413149,23808,353848
416198,23952,355505
419043,24118,357632
422140,24301,359570
425481,24478,361523
429193,24656,363737
432798,24840,365846
436319,25015,367829
439882,25222,369842
443086,25394,372051
446448,25589,374170
449960,25779,376531
453637,25986,378727
457219,26169,380956
461044,26380,383368
464596,26567,385264
468119,26746,387675
471772,26957,389966
475674,27192,392293
479825,27419,394800
483844,27658,397109
488236,27888,399300
492378,28098,401379
496253,28293,403950
500075,28544,406389
504281,28816,409121
508389,29070,411840
513219,29349,414831
517835,29605,418054
522387,29870,420910
526490,30123,423921
530380,30375,427400
534631,30712,431360
539670,31034,434676
545286,31346,438709
550757,31650,442674
556891,31985,446685
562705,32320,450891
568896,32616,455054
574856,32953,459250
581824,33299,463611
588648,33714,467917
596941,34113,472598
604952,34478,477300
612772,34864,481930
620491,35298,486691
628780,35738,491247
637712,36160,495473
646164,36579,500400
654936,36985,505287
663800,37409,509952
673250,37832,515153
682486,38291,520329
692949,38749,525641
703288,39202,530694
