Confirmed,Death,recovered
203,2,4
251,2,4
316,3,4
367,4,4
405,5,4
475,6,4
585,8,4
717,12,4
848,16,4
993,20,4
1094,28,35
1215,29,35
1378,37,35
1510,50,35
1688,60,633
1890,79,633
2143,94,633
2439,125,633
2785,141,633
3181,174,633
3441,194,633
3844,233,633
4219,273,633
4661,296,1772
5014,332,1843
5399,406,1964
5847,449,2125
6297,486,2125
6875,546,2125
7497,650,2125
8261,686,2627
8772,712,2627
9501,857,2627
10544,970,2627
11633,1069,2627
12872,1221,2627
13842,1305,7149
14677,1351,8354
15529,1434,9086
16752,1569,11423
17799,1732,11423
19224,1859,11423
20739,1972,12377
22088,2061,12377
23471,2154,13447
24905,2271,13447
26025,2507,16810
27634,2704,17781
29616,2961,17781
31522,3160,20314
33460,3353,21824
35022,3465,21824
36327,3573,23100
38324,3926,25935
40186,4220,26990
42595,4477,28475
45032,4767,30451
47144,5045,31848
49219,5177,33329
51633,5332,35388
54346,5666,37325
56594,6090,38419
59567,6510,40152
62527,6989,42191
65856,7179,44424
68620,7394,46979
71105,7633,49452
74560,8134,51708
78023,8597,53834
81400,9044,56041
84627,9415,59003
87512,9779,61247
90664,9930,63772
93435,10167,66965
97326,10637,69749
101238,11729,72680
105680,12545,74758
110026,13170,77841
113619,13511,80830
117103,13699,83775
120102,14053,87633
124301,14649,90748
129184,15357,93930
133974,15944,97198
139196,16448,100876
142690,16872,104078
146837,17141,107298
150264,17580,112292
154863,18310,115394
159793,19080,118504
165455,19747,122180
170485,20394,126438
175202,20781,130854
180545,21825,134495
185122,22584,139383
191410,23377,143646
196847,24324,148487
202951,25060,152362
208392,25779,156827
212802,26381,160721
216852,26648,164646
220657,27121,170147
226089,27769,174538
231770,28510,178526
238511,29189,183757
245251,29843,189345
252165,30366,195724
256848,30639,199914
261750,31119,204826
268008,32014,209437
275003,32796,214316
282283,33526,219628
289174,34191,225356
295268,34730,229856
299750,35006,234905
304435,35491,240101
311486,36327,245830
317635,36906,252368
324041,37574,257681
331298,38310,264202
338913,38888,271239
344224,39184,254941
349396,39485,263091
356255,40400,267407
362274,41190,270147
370712,41908,275454
378285,42645,283382
385036,43374,288819
390516,43680,295222
395489,44022,303810
402697,44876,308142
408449,45361,314538
416179,46000,320100
424637,46688,327115
434193,47472,334867
439046,47746,342527
443813,48012,353442
449961,48869,357444
456100,49698,361764
462690,50517,365311
469407,51311,370098
475902,52006,377125
480278,52298,384432
485836,53003,393160
492522,53929,397278
498380,54666,401182
505751,55293,406583
511369,55908,410479
517714,56543,418164
522162,56757,424298
525733,57023,430840
531239,57774,433809
537031,58481,438375
543806,59106,442782
549734,59610,448344
556216,60254,453104
560164,60480,458123
563705,60800,466209
568621,61450,469206
573888,62076,472197
579914,62594,475532
585738,63146,479770
591712,63819,484283
595841,64158,489724
599560,64414,496222
606036,65241,501722
610957,65816,504541
616894,66329,510626
623090,66851,514663
629409,67326,518844
634023,67558,524669
637509,67781,531334
642860,68484,535141
647321,69049,538514
652364,69649,541804
658299,70183,547088
663973,70604,551113
668381,70821,557381
671716,71049,564053
676487,71678,569546
680931,71978,574203
684113,72179,579145
688954,72803,582109
694121,73258,586154
697663,73493,590459
700580,73697,596317
705263,74348,598953
710049,74949,601611
715457,75439,605796
720858,75844,609041
726431,76243,612361
730317,76430,616696
733717,76603,622398
738163,77163,625512
743216,77646,628007
748315,78078,629630
753090,78492,633806
757953,78880,637993
761665,79088,645123
789780,81877,670034
794608,82348,676923
799188,82726,679693
804488,83096,682604
810020,83497,687123
814328,83642,689377
817503,83781,694214
821045,83945,700826
825340,84420,703457
829396,84898,703489
834910,85285,707631
841661,85704,712250
847108,86059,715848
851227,86167,720973
854926,86338,727759
860714,86893,730594
867559,87415,733897
874171,87415,737437
880775,88312,740934
886800,88743,746939
891160,88924,752691
895326,89171,760259
901268,89814,763105
906863,90309,765128
912811,90773,770007
918811,91289,774567
924962,91753,779371
929392,91895,786516
933155,92100,795356
938405,92593,803086
943630,93228,804887
949197,93772,809063
955128,94323,812556
961938,94808,816659
967825,95027,824355
972785,95225,824355
978531,95842,824355
986177,96430,824355
991835,97056,736197
997393,97624,741340
1003253,98259,745361
1006522,98542,750190
1009396,98861,754200
1011153,99026,757951
1015071,99528,762025
1019543,100104,766361
1025969,100823,770728
1032688,101373,770728
1041875,101676,779104
1049358,101926,784693
1060152,102739,791516
1070487,103597,798037
1078594,104242,803581
1090675,104873,808618
1101403,105459,813254
1107071,105655,818397
1113543,105940,823586
1122362,106765,829817
1133613,107565,836567
1144643,108173,843231
1156770,108863,852719
1168395,109456,859643
1175850,109717,866186
1182249,110074,873555
1193255,110874,881050
1205229,111655,889168
1217126,112326,896130
1229379,113019,904042
1241436,113704,911965
1250044,113953,918681
1255974,114298,927754
1267202,115099,938089
1277499,115769,945673
1289298,116487,953762
1301546,117249,962397
1313675,117876,971115
1320545,118202,978002
1325915,118598,987328
1338426,119495,996302
1350079,120311,1005248
1362564,121172,1015256
1372243,121837,1023916
1377217,122026,1031864
1383434,122426,1038766
1389430,122855,1048539
1401529,123845,1058429
1413935,124897,1066771
1426094,125807,1074795
1437185,126507,1083768
1443544,126851,1090905
1448755,127213,1098431
1455219,127757,1105834
1466490,128822,1113137
1479835,129987,1119968
1493569,131031,1127471
1507931,132069,1134877
1524036,133204,1143254
1534039,133706,1150422
1541633,134368,1160373
1556028,135682,1168354
1571901,136917,1176658
1588369,137916,1185621
1609735,139022,1199810
1630258,140241,1212403
1641428,140704,1223108
1649502,141248,1237321
1668396,142832,1251782
1688944,144371,1264780
1711283,146174,1264780
1732290,147614,1291940
