Confirmed,Death,recovered
234,26,1
318,30,1
363,34,1
395,39,1
416,45,1
480,57,1
580,63,14
635,71,16
671,86,16
852,95,16
950,113,53
1065,138,394
1323,161,394
1414,183,537
1595,209,537
1746,258,914
2281,317,989
2561,360,997
2954,423,1301
4342,471,1333
5256,569,1438
5897,650,1569
6848,753,1739
7519,846,1798
9784,952,2642
10303,1061,2869
11475,1200,3108
12491,1333,6120
13489,1490,6541
14420,1628,6684
15628,1786,6811
16325,1990,6968
17837,2199,6982
19250,2418,7027
20914,2664,7422
21648,2910,7496
25331,3198,7797
27517,3488,8088
28699,3793,8425
31190,4106,9179
33931,4450,10037
36976,4782,10405
40459,5181,11129
42534,5589,12434
45928,6004,13550
47372,6442,14427
51189,6871,15413
54817,7328,17527
58526,7809,18388
61847,8263,19012
65015,8740,20246
67307,9258,21349
68822,9778,22406
72059,10294,23324
76306,10760,24324
80604,11277,25151
84495,11824,27147
88541,12333,28272
92273,12835,28621
94933,13369,30306
99483,13984,36524
104020,14512,41968
108769,15056,43587
111698,15583,44848
115754,16101,47915
119959,16644,49795
123979,17216,50949
129751,17796,52906
135905,18340,56169
141779,18924,59442
148285,19609,62791
155671,20111,66447
164476,20710,67208
170039,21278,68507
178165,21938,69257
178914,22476,72319
183198,23025,76228
187400,23640,79214
191758,24225,82731
196515,24834,86219
199696,25402,89556
203736,26015,92929
208823,26610,98031
214788,27225,102429
214788,27825,107133
220749,28386,111724
229736,29010,115579
232992,29603,119409
237156,30230,125205
240908,30840,128622
244388,31443,131190
247925,31962,135520
251338,32574,143017
254936,33340,141967
257447,33694,145320
260810,34231,148437
264689,34779,151589
268602,35299,151225
272364,35814,159806
275989,36337,164024
279419,36870,167998
282365,37405,171159
285213,37898,174535
288477,38449,178245
292004,38985,182097
295599,39533,185852
299080,40108,189621
302718,40625,193957
305703,41200,197619
309278,41756,200938
312911,42294,204748
316448,42858,207802
319646,43377,210638
322710,43952,214152
326326,44528,217111
330123,45114,221008
333867,45709,223261
337751,46300,226400
341586,46913,230994
345537,47472,233982
349500,48645,238086
353590,49429,241955
357681,49444,245081
362087,49875,248746
366550,50473,252246
371096,51097,255945
375961,51716,259423
375961,52295,259423
375961,52909,267850
389717,53532,272547
395005,54182,276452
400683,54794,280044
400683,55382,283915
407492,55982,283915
407492,56614,287127
428850,57285,294187
433100,57860,298091
439890,58518,302457
447624,59175,306430
455409,59776,310337
463875,60404,314332
463875,61066,319171
478024,61718,324020
483133,62299,324020
489680,62934,329404
489680,63307,341938
498555,64139,341938
516296,64807,354232
516296,65456,359781
525803,66040,365367
535946,66589,370717
541493,67198,374019
549321,67771,377453
558420,68286,380730
567059,68791,380730
576067,69312,380730
585236,69826,399357
594326,70350,399357
600438,70861,414577
607382,71386,414577
613378,71831,421877
621997,72319,429662
629961,72801,438017
639435,73227,446675
647166,73612,455457
652037,74039,471599
657129,74416,480177
657129,74816,480177
670145,75174,498523
676848,75540,498523
683702,75901,506422
689977,76255,522251
691575,76586,522251
696190,76906,536959
702776,77229,536959
710067,77531,544745
716670,77825,559321
722832,78115,559321
729619,78394,566796
733860,78680,573364
738020,78963,580753
744400,79221,594513
750098,79474,594513
756412,79722,594513
762865,80004,607837
768895,80245,607837
768895,80478,607837
776546,80711,636489
782695,80933,636489
794584,81146,636489
794584,81365,657836
800142,81595,657836
805302,81761,664490
808714,81960,670989
811768,82135,676925
814829,82294,690528
818297,82477,690528
821564,82638,695645
821564,82808,700868
