PM25,PM10,NO2,CO,O3,SO2
40,51,23,0.63,15,3
17,29,18,0.607,16,5
15,30.28571429,19,0.605,20,5
16,16,18,0.599,19,5
21,25,20,0.588,20,5
17,22,19,0.939,16,4
23,31,20,0.756,22,3
23,38,24,0.66,14,5
25,35,24,0.637,18,4
22,22,18,0.64,21,5
21,26,17,0.651,14,4
18,28,15,0.654,21,4
16,29,17,0.672,18,4
17,24,13,0.687,22,4
15,23,12,0.676,22,5
11,14,18,0.674,28,4
13,17,19,0.646,29,5
12,19,23,0.662,26,5
12,25,23,0.661,28,4
15,30,23,0.684,26,5
15,35,24,0.705,28,6
11,25,21,0.719,26,4
8,19,23,0.715,27,5
10,15,15,0.725,21,4
12,13,11,0.734,26,4
14,19,12,1.187,20,4
21,23,12,0.765,23,5
23,22.5,12,0.773,24,5
25,22.13636364,14,0.778,27,5
21,22,15,0.773,19,6
20,27,17,0.775,15,5
21,32,25,0.776,15,4
22,30,19,0.794,20,6
17,21,14,0.814,27,4
12,12,12,0.799,31,6
10,10,12,0.786,26,5
10,14,12,0.79,24,3
11,14,11,0.79,37,3
10,17,7,0.747,34,4
10,14,6,0.77,36,5
10,14,6,0.77,36,5
11,18,7,0.755,37,5
11,27,11,0.747,39,4
16,33,15,0.768,31,5
22,41,15,0.804,35,5
23,51,17,0.82,41,5
20,32,17,0.815,33,7
23,35,14,0.819,36,6
24,33,11,0.868,36,7
21,36,16,0.923,31,7
18,20,15,0.917,28,4
19,30,19,0.902,21,4
24,38,21,0.886,20,4
23,26,14,0.861,25,4
25,31,14,0.874,22,5
28,38,15,0.874,23,7
26,38,26,0.888,23,5
23,29,15,0.892,28,4
21,26,9,0.872,34,4
21,34,8,0.843,30,5
20,43,7,0.808,31,5
21,44,7,0.82,32,4
22,39,8,0.78,34,5
27,58,12,0.733,40,5
28,59,12,0.75,41,4
29,51,11,0.697,31,5
30,55,12,0.677,34,4
30,59,13,0.665,28,5
33,74,12,0.673,30,4
31,54,12,0.67,31,5
30,51,13,0.653,27,7
28,48,12,0.66,24,5
28,41,10,0.687,31,5
27,42,10,1.161,32,6
30,37,11,0.745,29,5
27,37,10,0.731,32,6
29,55,12,0.72,32,5
26,54,11,0.711,28,5
22,43,11,0.702,33,5
25,41,13,0.701,28,4
29,47,19,0.705,30,6
26,47,21,0.709,26,6
23,46,13,0.702,30,5
28,50,14,0.701,27,5
