Confirmed,Death,recovered
793,11,2
1021,15,2
1546,25,2
1924,34,2
2247,46,2
2554,59,2
2985,77,6
3417,92,6
3904,111,6
4256,136,6
4579,159,120
5717,201,127
6836,240,127
8044,324,127
9056,359,127
10360,445,127
11130,486,127
12161,564,127
14034,686,127
16170,819,127
18092,950,173
19638,1057,173
20727,1124,173
22192,1223,173
23430,1328,173
25262,1532,3046
28320,1736,14026
30425,1924,14026
33682,2141,14026
36658,2354,14026
38654,2462,22130
40743,2587,22130
43079,2741,22991
45757,2906,25318
50036,3331,26573
54043,3704,27655
59324,4057,29160
63100,4286,30152
67446,4603,31142
73235,5083,32544
79685,5513,34132
87187,6006,35935
92202,6412,38039
97100,6761,40937
101826,7051,42991
108620,7367,45815
115455,7938,48221
126611,8588,51370
135773,9190,55350
146894,10017,59297
156061,10656,61685
162699,11123,64957
169594,11653,67384
178214,12461,72597
190137,13240,78424
203165,13999,79479
220291,14962,84970
233511,15662,89672
241080,16118,94122
255368,16853,100459
271885,17983,106794
294624,19059,116683
312761,20128,125960
334568,21159,135430
351565,22205,142587
366033,22863,149911
378840,23590,153833
395167,24644,158593
415366,25705,166647
443703,26895,177604
470593,28032,189476
502914,28896,200892
516137,29367,206555
531286,30108,211080
562963,31473,223638
589048,32667,238617
621002,34177,254963
653103,35253,266940
676893,36054,277149
694881,36530,283952
712219,37393,378257
743917,38586,396737
777707,39824,413916
806399,41092,429965
830681,41935,445123
851911,42792,459436
868705,43426,469141
893322,44190,477709
930305,45522,490005
961230,46707,521046
986750,47946,534580
1042809,49118,551631
1106332,50100,576779
1086536,50683,588118
1114728,51445,601736
1154255,52851,627963
1195288,53955,660469
1236752,55135,679524
1281636,56128,702399
1318556,57159,727715
1351439,57753,746018
1372989,58475,757811
1412669,59792,788318
1459494,60878,817642
1503895,62137,957692
1546935,63350,984615
1580502,64410,990731
1605695,64968,1029045
1630149,65653,1062542
1676848,66953,1107012
1722098,68126,1139844
1765060,69348,1171447
1809371,70646,1217361
1844318,71578,1244088
1867976,72195,1264843
1890869,73030,1291251
1933791,74324,1323425
1973933,75604,1350098
2017616,76903,1397531
2052234,78026,1428520
2077987,78870,1447408
2101399,79578,1459072
2124152,80346,1514300
2171079,81663,1555339
2237229,82959,1591975
2294555,84272,1620313
2351458,85437,1693214
2398993,86536,1785359
2421666,87117,1812913
2449677,87802,1846641
2503681,89060,1868749
2559132,90259,1922802
2617187,91461,1956807
2670451,92728,2008854
2711992,93669,2037982
2736058,94193,2062876
2756164,94795,2098976
2812447,96153,2157484
2868616,97519,2190361
2922605,98745,2230542
2972008,99830,2272299
3018397,100657,2321537
3041127,101226,2356983
3067633,102015,2390830
3118153,103209,2449338
3173107,104393,2506228
3233820,105635,2521100
3283227,106642,2616981
3320108,107365,2622878
3343114,107952,2655017
3367511,108748,2699080
3416775,110100,2751246
3465378,111263,2801931
3508352,112500,2844318
3540678,113551,2855558
3586586,114379,2913966
3608459,114834,2947784
3631972,115557,2976256
3678279,116760,3032551
3726431,117839,3082447
3768691,118824,3122846
3812779,119673,3158783
3850070,120570,3202185
3864604,120971,3237615
3914829,121618,3268591
3959158,122768,3345240
4005611,123972,3387309
4052420,124839,3429435
4091959,125688,3464278
4125816,126292,3498999
4140488,126750,3522155
4150004,127070,3549201
4168790,127595,3572421
