Confirmed,Death,recovered
3,0,3
5,0,3
5,0,3
28,0,3
30,0,3
31,0,3
34,0,3
39,0,3
43,0,3
56,0,4
62,1,4
73,1,4
82,2,4
102,2,4
113,2,13
119,2,13
142,3,14
156,3,14
194,4,15
244,5,20
330,4,23
396,7,27
499,10,27
536,10,40
657,12,43
727,20,45
887,20,73
987,24,84
1024,27,95
1251,32,102
1397,35,123
1998,58,148
2543,72,191
2567,72,192
3082,86,229
3588,99,229
4778,136,375
5311,150,421
5916,178,506
6725,226,620
7598,246,774
8446,288,969
9205,331,1080
10453,358,1181
11487,393,1359
12322,405,1432
13430,448,1768
14352,486,2041
15722,521,2463
17615,559,2854
18539,592,3273
20080,645,3975
21370,681,4370
23077,721,5012
24530,780,5498
26283,825,5939
27890,881,6523
29451,939,7137
31324,1008,7747
33062,1079,8437
34863,1154,9068
37257,1223,10007
39699,1323,10819
42505,1391,11775
46437,1566,12847
49400,1693,14142
52987,1785,15331
56351,1889,16776
59695,1985,17887
62808,2101,19301
67161,2212,20969
70768,2294,22549
74292,2415,24420
78055,2551,26400
81997,2649,27969
85784,2753,30258
90648,2871,34224
95698,3025,36795
100328,3156,39233
106475,3302,42309
112028,3434,45422
118226,3584,48553
124794,3726,51824
131423,3868,54385
138536,4024,57692
144950,4172,60706
150793,4344,64277
158086,4534,67749
165386,4711,70920
173491,4980,82627
181827,5185,86936
190609,5408,91852
198370,5608,95754
207191,5829,100285
216824,6088,104071
226713,6363,108450
236184,6649,113233
246622,6946,118695
257486,7207,123848
265928,7473,129095
276146,7750,134670
286605,8102,135206
297535,8498,147195
308993,8884,154330
320922,9195,162379
332424,9520,169798
343091,9900,180013
354065,11903,186935
366946,12237,194325
380532,12573,204711
395048,12948,213831
410451,13254,227728
425282,13699,237196
440215,14011,248190
456183,14476,258685
473105,14894,271697
490401,15301,285637
508953,15685,295881
528859,16095,309713
548318,16475,321723
566840,16893,334822
585481,17400,347912
604641,17834,359860
625544,18213,379892
648315,18655,394227
673165,19268,409083
697413,19693,424433
719664,20159,439934
742417,20642,456831
767296,21129,476378
793802,21604,495513
820916,22123,515386
849522,22673,534618
878254,23174,553471
906752,23727,571460
936181,24309,592032
968857,24914,612768
1003832,25602,635757
1039084,26273,653751
1077781,26816,677423
1118206,27497,700087
1155338,28082,724578
1193078,28732,753050
1238798,29861,782607
1288108,30601,817209
1337024,31358,849432
1385635,32060,885573
1435616,32771,917568
1480073,33408,951166
1531669,34193,988029
1581963,34955,1019735
1634746,35718,1055348
1695988,36511,1094374
1750723,37364,1145629
1803695,38135,1186203
1855745,38938,1230509
1908254,39795,1282215
1964536,40699,1328336
2027074,41585,1378105
2088611,42518,1427005
2153010,43379,1480884
2215074,44386,1535743
2268675,45257,1583489
2329638,46091,1639599
2396637,47033,1695982
2461190,48040,1751555
2525922,49036,1808936
2589952,49980,1862258
2647663,50921,1919842
2702681,51797,1977671
2767253,52888,2037816
2836925,53866,2096664
2905825,54849,2158946
2975701,55794,2222577
3044940,56706,2280566
3106348,57542,2338035
3167323,58390,2404585
3224547,59357,2458339
3310234,60472,2523771
3387500,61529,2583948
3463972,62550,2648998
3542733,63498,2713933
3621245,64469,2774801
3691166,65288,2839882
3769523,66333,2901908
3853406,67376,2970492
3936747,68472,3037151
4023179,69561,3107223
4113811,70626,3180865
4204613,71642,3250429
4280422,72775,3323950
4370128,73890,3398844
4465863,75062,3471783
4562414,76271,3542663
4659984,77472,3624196
4754356,78586,3702595
4846427,79722,3780107
4930236,80776,3859399
5020359,82066,3942360
5118253,83198,4025079
5214677,84372,4112551
5308014,85619,4208431
5400619,86752,4303043
5487580,87882,4396399
5562663,88935,4497867
5646010,90020,4587613
5732518,91149,4674987
5818570,92290,4756164
5903932,93379,4849584
5992532,94503,4941627
6074702,95542,5016520
6145291,96318,5101397
6225763,97497,5187825
6312584,98678,5273201
6394068,99773,5352078
6473544,100842,5427706
6549373,101782,5509966
6623815,102685,5586703
6685082,103569,5662490
6757131,104555,5744693
