Confirmed,Death,recovered
202,0,0
240,0,0
274,0,0
402,0,0
554,0,4
709,0,12
927,0,12
1170,1,31
1187,1,31
1280,2,31
1326,3,31
1353,5,31
1380,5,50
1462,5,50
1505,9,95
1585,9,95
1655,11,95
1686,12,95
1749,13,95
1845,18,95
1934,18,95
2003,24,410
2028,25,410
2173,25,410
2272,27,410
2415,27,410
2506,34,410
2605,48,903
2783,50,903
3034,52,903
3158,54,903
3300,58,1055
3465,58,1055
3635,65,1055
3953,75,1473
4220,79,1473
4361,86,1473
4546,87,1473
4793,90,1473
4996,93,2073
5350,103,2073
5647,103,2073
5951,116,2382
6336,123,2549
6783,131,2549
7220,138,2746
7572,148,2746
7808,153,3153
8232,161,3153
8895,178,3153
9420,186,3983
10015,194,4173
10652,206,4357
11350,206,4357
12074,219,4745
12739,238,5676
13524,247,6083
14355,261,6478
15515,264,7006
16433,286,7298
17200,312,7960
18003,339,8950
19137,369,8950
20125,397,10104
21343,407,10104
22583,429,11100
23615,481,11917
24264,524,12741
25937,552,13451
27403,577,14370
29240,611,15093
30967,643,16116
32683,683,16809
34357,705,17291
35812,755,18313
37525,792,19682
40792,848,21311
43434,908,23088
45973,952,24258
48285,998,24364
50879,1080,26099
52991,1162,29006
55421,1210,31505
58568,1284,33252
61927,1354,35006
65736,1423,36850
70038,1480,38531
73533,1568,39867
76334,1625,42063
80412,1674,44331
83890,1737,44920
87715,1831,47825
92681,1877,50326
97302,1930,51608
101590,1991,53444
106108,2102,55045
111796,2205,56874
118375,2292,59974
124590,2340,64111
131800,2413,67094
138134,2456,68925
144264,2529,70614
151209,2657,73543
159333,2749,76025
168061,2844,81999
177124,2952,86298
187977,3026,91227
196750,3199,93315
205721,3310,97848
215855,3502,102299
224665,3602,106842
238339,3720,113061
250687,3860,118232
264184,3971,127715
276242,4079,134874
287796,4172,138241
298292,4346,146279
311049,4453,160693
324221,4669,165591
337594,4804,178183
350879,4948,182230
364328,5033,191059
373628,5173,194865
381798,5368,208144
394948,5940,229175
408052,6093,236260
421996,6343,245771
434200,6655,263054
445433,6769,265077
452529,7067,274925
459761,7257,287313
471123,7497,297967
482169,7812,309601
493183,8005,326171
503290,8153,342461
511485,8366,347227
516862,8539,358037
521318,8884,363751
529877,9298,377266
538184,9604,387316
545476,9909,394759
553188,10210,404568
559859,10408,411474
563598,10621,417200
566109,10751,426125
568919,11010,432029
572865,11270,437617
579140,11556,461734
583653,11677,466941
587345,11839,472377
589886,11982,477671
592144,12264,485468
596060,12423,491441
599940,12618,497169
603338,12843,500102
607045,12987,504127
609773,13059,506470
611450,13159,516494
613017,13308,520381
615701,13502,525242
618286,13628,531338
620132,13743,533935
622551,13981,536694
625056,14028,538604
627041,14149,540923
628259,14263,549993
630595,14389,553456
633015,14563,554887
635078,14678,557818
636884,14779,561204
638517,14889,563891
639362,15004,566555
640441,15086,567729
642431,15168,569935
644438,15265,573003
646398,15378,574587
648214,15427,576423
649793,15447,577906
650749,15499,579289
651521,15641,583126
653444,15705,584195
655572,15772,585303
657627,15857,586844
659656,15940,589434
661211,15953,590071
661936,15992,591208
663282,16118,592904
665188,16206,594229
667049,16283,595916
668529,16312,599149
669498,16376,601818
670766,16398,603721
671669,16586,604478
672572,16667,606520
674339,16734,608112
676084,16866,609584
677833,16909,611044
679716,16938,612763
681289,16976,614781
682215,17016,615684
683242,17103,616857
685155,17248,618127
686891,17408,618771
688352,17547,620081
690896,17673,622153
692471,17780,623765
693359,17863,624659
694537,18028,625574
696414,18151,626898
698184,18309,628301
700203,18370,629260
702131,18408,630436
703793,18471,634543
705254,18492,635257
706304,18656,639568
708359,18741,641706
710515,18843,642560
712412,18891,643523
714246,18944,644641
715868,18968,646170
716759,19008,646721
717851,19053,647833
719714,19111,648654
721770,19164,649935
723682,19230,653052
725452,19276,654182
726823,19411,655330
727595,19465,657500
728836,19539,659259
730548,19585,660185
732414,19677,671579
734175,19749,675593
735906,19789,678738
737278,19809,679688
738525,19845,680726
740254,19951,683194
742394,20011,686458
744732,20076,690903
746945,20153,692177
749182,20206,693261
751024,20241,693467
752269,20314,695496
754256,20432,696820
757144,20556,701534
759658,20671,702544
762763,20759,707040
765409,20845,707784
767679,20903,710099
769759,20968,711195
772252,21083,716444
775502,21201,716444
778571,21289,716444
781941,21378,722876
785139,21439,723347
787702,21477,730633
790004,21535,731242
792299,21644,732531
796472,21709,734305
800872,21803,739367
805804,21963,740450
810449,22067,744298
814565,22206,744780
817878,22249,745750
821889,22432,753072
828598,22574,754658
836764,22747,756671
845083,22952,758373
852965,23106,760118
860964,23276,761011
866127,23451,762746
873679,23661,764977
883687,23827,774585
892813,24011,780313
901538,24285,783818
912477,24539,787782
921922,24691,793914
930711,24907,796346
940212,25246,808241
954258,25657,811372
968563,25983,822978
983359,26276,830251
994911,26521,839194
1004413,26735,844874
1011871,27071,849974
1021451,27568,858456
1039161,28033,867597
1057161,28469,879671
1073887,28887,887701
1088889,29175,897704
1100748,29577,903679
1113349,30011,911573
1127759,30524,920879
1149591,31368,929239
1170590,31809,938216
1192570,32425,947919
1214176,32824,956712
1231597,33163,966368
1246643,33579,973265
1259748,34334,1019123
1278303,35140,1030930
1296806,35852,1049740
1311686,36467,1062690
1325659,36851,1083978
1337926,37105,1098441
1346936,37449,1117452
1356716,38288,1144857
1369426,38854,1160412
1380807,39501,1183443
1392568,40076,1201284
1404839,40574,1217492
1412986,40874,1230520
1417537,41117,1241421
1423578,41797,1254674
1430648,42550,1263476
1437798,43105,1272197
1443939,43633,1284781
1449236,43951,1292921
1453761,44164,1299620
1456309,44399,1306022
1458958,44946,1318504
1463016,45344,1323680
1466767,45605,1327186
1470516,45902,1335618
1473700,46180,1340497
1476135,46290,1360204
1477511,46473,1363947
1479253,46869,1367247
1482412,47145,1374368
1484900,47382,1377980
1487681,47670,1383626
1490063,47821,1385996
1491807,47899,1388321
1492909,48094,1391155
1494119,48313,1396951
1496439,48478,1399829
1498766,48708,1403214
1500677,48859,1406907
1502367,48940,1409553
1503796,49053,1412015
1504588,49150,1413566
1505586,49413,1419459
1507448,49523,1422622
1509124,49667,1424401
1510778,49784,1426417
1512225,49941,1429047
1513393,49993,1430259
1513959,50077,1431336
1514815,50271,1433320
1516262,50366,1434772
1517666,50462,1436010
1518979,50566,1437050
1520206,50647,1439515
1521068,50678,1440874
1521706,50803,1442045
1522697,50906,1444282
1524174,51015,1445979
1525648,51110,1447503
1526873,51179,1449654
1528414,51261,1452988
1529420,51326,1454290
1530033,51421,1455325
1530966,51560,1458001
1532497,51634,1459056
1533961,51724,1459894
1535423,52035,1461196
1536801,52082,1462110
1537852,52111,1463089
1538451,52196,1463953
1538961,52251,1465204
1540009,52372,1466595
1541563,52535,1467254
1543079,52602,1469565
1544466,52648,1471164
1545431,52663,1471899
1545979,52710,1472645
1546735,52788,1473588
1548157,52846,1474319
1549451,52897,1474826
1550724,52946,1475398
1551501,52954,1476605
1551964,52987,1477363
1552416,52995,1478088
1552853,53032,1478820
1553609,53111,1479821
1554975,53173,1480632
1556242,53226,1481637
1557527,53256,1482682
1558458,53322,1483296
1559113,53356,1484356
1559960,53423,1485315
1561559,53498,1486873
1562931,53571,1488060
1564355,53663,1488572
