0,1,2
202.0,0.0,0.0
,,0.0
274.0,0.0,0.0
,0.0,0.0
554.0,0.0,4.0
709.0,0.0,12.0
927.0,0.0,
1170.0,1.0,31.0
1187.0,1.0,31.0
1280.0,2.0,
1326.0,,31.0
1353.0,5.0,31.0
1380.0,5.0,
1462.0,5.0,50.0
1505.0,9.0,95.0
1585.0,9.0,95.0
1655.0,11.0,95.0
1686.0,12.0,95.0
,,95.0
1845.0,18.0,95.0
1934.0,18.0,95.0
2003.0,,410.0
2028.0,25.0,410.0
2173.0,25.0,410.0
2272.0,27.0,410.0
2415.0,27.0,
,34.0,410.0
2605.0,48.0,903.0
2783.0,50.0,903.0
3034.0,52.0,903.0
3158.0,54.0,903.0
3300.0,58.0,1055.0
3465.0,58.0,1055.0
3635.0,,1055.0
3953.0,75.0,1473.0
4220.0,79.0,1473.0
4361.0,86.0,1473.0
4546.0,87.0,1473.0
4793.0,90.0,1473.0
4996.0,93.0,2073.0
5350.0,103.0,2073.0
5647.0,,2073.0
5951.0,116.0,2382.0
,123.0,2549.0
6783.0,131.0,2549.0
7220.0,138.0,2746.0
7572.0,,2746.0
7808.0,153.0,3153.0
8232.0,161.0,
8895.0,178.0,3153.0
9420.0,186.0,3983.0
10015.0,194.0,4173.0
10652.0,206.0,4357.0
11350.0,206.0,4357.0
12074.0,219.0,4745.0
,,5676.0
13524.0,,6083.0
14355.0,261.0,6478.0
15515.0,,7006.0
16433.0,286.0,7298.0
17200.0,312.0,7960.0
18003.0,,8950.0
19137.0,369.0,8950.0
20125.0,397.0,10104.0
,407.0,10104.0
22583.0,429.0,11100.0
23615.0,481.0,11917.0
24264.0,524.0,12741.0
25937.0,552.0,13451.0
27403.0,577.0,14370.0
29240.0,611.0,15093.0
30967.0,643.0,16116.0
32683.0,683.0,16809.0
34357.0,705.0,
,755.0,18313.0
37525.0,792.0,19682.0
,848.0,21311.0
43434.0,908.0,23088.0
45973.0,952.0,24258.0
48285.0,998.0,24364.0
50879.0,1080.0,26099.0
52991.0,1162.0,29006.0
55421.0,1210.0,31505.0
58568.0,1284.0,33252.0
,1354.0,35006.0
65736.0,1423.0,36850.0
70038.0,,38531.0
73533.0,1568.0,39867.0
76334.0,1625.0,42063.0
80412.0,1674.0,44331.0
83890.0,1737.0,44920.0
87715.0,1831.0,47825.0
92681.0,1877.0,
97302.0,1930.0,51608.0
101590.0,1991.0,53444.0
106108.0,2102.0,55045.0
111796.0,,
118375.0,2292.0,
124590.0,2340.0,64111.0
131800.0,2413.0,67094.0
138134.0,2456.0,68925.0
144264.0,2529.0,
151209.0,2657.0,73543.0
159333.0,2749.0,76025.0
168061.0,2844.0,81999.0
177124.0,2952.0,86298.0
187977.0,3026.0,91227.0
196750.0,3199.0,93315.0
205721.0,3310.0,97848.0
215855.0,3502.0,
224665.0,3602.0,106842.0
238339.0,3720.0,113061.0
250687.0,3860.0,118232.0
264184.0,3971.0,127715.0
276242.0,4079.0,134874.0
287796.0,4172.0,138241.0
298292.0,4346.0,146279.0
311049.0,4453.0,
324221.0,4669.0,165591.0
337594.0,4804.0,178183.0
,4948.0,182230.0
364328.0,5033.0,191059.0
373628.0,5173.0,194865.0
381798.0,5368.0,208144.0
394948.0,5940.0,229175.0
408052.0,,236260.0
421996.0,6343.0,245771.0
434200.0,6655.0,263054.0
445433.0,6769.0,265077.0
452529.0,,274925.0
459761.0,7257.0,287313.0
471123.0,7497.0,297967.0
482169.0,7812.0,309601.0
493183.0,8005.0,326171.0
503290.0,8153.0,342461.0
511485.0,8366.0,347227.0
516862.0,8539.0,358037.0
521318.0,8884.0,363751.0
529877.0,9298.0,377266.0
538184.0,9604.0,387316.0
545476.0,9909.0,394759.0
553188.0,10210.0,404568.0
559859.0,10408.0,411474.0
563598.0,10621.0,417200.0
566109.0,10751.0,426125.0
568919.0,11010.0,432029.0
572865.0,11270.0,437617.0
579140.0,11556.0,461734.0
583653.0,11677.0,466941.0
587345.0,11839.0,472377.0
589886.0,11982.0,477671.0
,12264.0,
596060.0,,491441.0
599940.0,12618.0,497169.0
603338.0,12843.0,500102.0
607045.0,,504127.0
609773.0,13059.0,
611450.0,13159.0,516494.0
613017.0,13308.0,520381.0
615701.0,13502.0,
618286.0,,
620132.0,13743.0,
622551.0,,536694.0
,14028.0,538604.0
627041.0,14149.0,
628259.0,14263.0,549993.0
,14389.0,553456.0
633015.0,14563.0,554887.0
635078.0,14678.0,557818.0
636884.0,14779.0,561204.0
638517.0,14889.0,563891.0
639362.0,15004.0,566555.0
,15086.0,567729.0
642431.0,15168.0,569935.0
644438.0,15265.0,573003.0
646398.0,15378.0,574587.0
648214.0,15427.0,576423.0
649793.0,,577906.0
650749.0,15499.0,579289.0
651521.0,15641.0,583126.0
653444.0,15705.0,584195.0
655572.0,15772.0,585303.0
657627.0,15857.0,586844.0
659656.0,15940.0,589434.0
661211.0,15953.0,
661936.0,15992.0,591208.0
663282.0,16118.0,592904.0
665188.0,16206.0,594229.0
,16283.0,595916.0
668529.0,,599149.0
669498.0,16376.0,601818.0
670766.0,16398.0,603721.0
671669.0,16586.0,604478.0
672572.0,16667.0,
674339.0,16734.0,
676084.0,16866.0,609584.0
677833.0,16909.0,611044.0
679716.0,16938.0,612763.0
681289.0,16976.0,614781.0
682215.0,,615684.0
,17103.0,616857.0
685155.0,17248.0,
686891.0,17408.0,618771.0
688352.0,17547.0,620081.0
690896.0,17673.0,622153.0
692471.0,17780.0,
693359.0,17863.0,
694537.0,18028.0,625574.0
696414.0,18151.0,626898.0
,,628301.0
700203.0,18370.0,629260.0
702131.0,18408.0,630436.0
703793.0,18471.0,634543.0
705254.0,18492.0,635257.0
706304.0,18656.0,639568.0
708359.0,18741.0,641706.0
710515.0,18843.0,642560.0
,18891.0,643523.0
714246.0,18944.0,644641.0
715868.0,18968.0,646170.0
716759.0,19008.0,646721.0
717851.0,19053.0,647833.0
719714.0,19111.0,648654.0
721770.0,19164.0,
723682.0,19230.0,
725452.0,19276.0,654182.0
726823.0,19411.0,655330.0
727595.0,19465.0,657500.0
728836.0,19539.0,659259.0
730548.0,19585.0,660185.0
732414.0,19677.0,671579.0
734175.0,19749.0,675593.0
735906.0,,678738.0
737278.0,19809.0,679688.0
738525.0,19845.0,680726.0
740254.0,19951.0,683194.0
742394.0,20011.0,686458.0
744732.0,20076.0,690903.0
,20153.0,692177.0
749182.0,20206.0,693261.0
751024.0,20241.0,693467.0
752269.0,20314.0,695496.0
754256.0,20432.0,696820.0
757144.0,20556.0,701534.0
759658.0,20671.0,702544.0
762763.0,20759.0,707040.0
765409.0,20845.0,
767679.0,20903.0,710099.0
,20968.0,711195.0
,,716444.0
,21201.0,716444.0
778571.0,21289.0,716444.0
781941.0,21378.0,722876.0
785139.0,21439.0,723347.0
787702.0,21477.0,730633.0
790004.0,21535.0,731242.0
792299.0,21644.0,732531.0
796472.0,21709.0,734305.0
800872.0,21803.0,
