0,1,2
,11.0,2.0
1021.0,15.0,2.0
1546.0,,2.0
1924.0,34.0,2.0
2247.0,46.0,2.0
2554.0,59.0,
,,6.0
3417.0,92.0,
3904.0,,6.0
,136.0,6.0
4579.0,,
5717.0,201.0,127.0
6836.0,,127.0
8044.0,324.0,
9056.0,359.0,127.0
10360.0,445.0,127.0
11130.0,,127.0
12161.0,564.0,127.0
14034.0,686.0,
16170.0,819.0,127.0
18092.0,950.0,173.0
19638.0,1057.0,
20727.0,1124.0,173.0
22192.0,1223.0,173.0
23430.0,1328.0,
25262.0,1532.0,
28320.0,1736.0,14026.0
30425.0,1924.0,14026.0
33682.0,2141.0,14026.0
36658.0,,
38654.0,2462.0,22130.0
40743.0,,
,2741.0,
45757.0,2906.0,
,,26573.0
,3704.0,27655.0
,,29160.0
63100.0,,30152.0
67446.0,,31142.0
,5083.0,
,5513.0,34132.0
87187.0,6006.0,35935.0
92202.0,6412.0,
,,
101826.0,7051.0,42991.0
,7367.0,45815.0
,7938.0,48221.0
,,
135773.0,,55350.0
146894.0,10017.0,59297.0
156061.0,10656.0,61685.0
162699.0,11123.0,
,11653.0,67384.0
178214.0,12461.0,72597.0
190137.0,13240.0,78424.0
203165.0,13999.0,79479.0
220291.0,,84970.0
233511.0,15662.0,89672.0
241080.0,16118.0,94122.0
,,100459.0
,17983.0,
,,116683.0
312761.0,,125960.0
334568.0,,135430.0
351565.0,,
366033.0,22863.0,
378840.0,23590.0,153833.0
395167.0,24644.0,158593.0
415366.0,,166647.0
443703.0,,177604.0
470593.0,28032.0,189476.0
502914.0,,200892.0
516137.0,29367.0,206555.0
531286.0,30108.0,211080.0
562963.0,31473.0,223638.0
,,238617.0
621002.0,34177.0,
653103.0,35253.0,266940.0
676893.0,36054.0,277149.0
694881.0,36530.0,
712219.0,37393.0,378257.0
743917.0,38586.0,
,,413916.0
,41092.0,
830681.0,,
851911.0,42792.0,459436.0
868705.0,,469141.0
893322.0,,477709.0
930305.0,,490005.0
,,521046.0
986750.0,,534580.0
1042809.0,,551631.0
1106332.0,,576779.0
1086536.0,50683.0,
1114728.0,51445.0,601736.0
,,627963.0
1195288.0,53955.0,
1236752.0,55135.0,679524.0
1281636.0,56128.0,
1318556.0,57159.0,
1351439.0,57753.0,746018.0
,,757811.0
,,788318.0
1459494.0,60878.0,
1503895.0,62137.0,957692.0
1546935.0,,984615.0
1580502.0,64410.0,990731.0
1605695.0,,1029045.0
1630149.0,65653.0,
1676848.0,66953.0,
1722098.0,68126.0,
,69348.0,1171447.0
1809371.0,70646.0,1217361.0
,71578.0,
1867976.0,72195.0,1264843.0
1890869.0,73030.0,1291251.0
,,1323425.0
1973933.0,75604.0,1350098.0
2017616.0,76903.0,
2052234.0,78026.0,
2077987.0,78870.0,1447408.0
2101399.0,79578.0,1459072.0
2124152.0,,1514300.0
,81663.0,1555339.0
,,1591975.0
2294555.0,84272.0,1620313.0
,85437.0,1693214.0
2398993.0,,
2421666.0,87117.0,1812913.0
2449677.0,87802.0,1846641.0
,,1868749.0
,90259.0,
,91461.0,
2670451.0,92728.0,
,93669.0,2037982.0
,94193.0,2062876.0
,94795.0,2098976.0
2812447.0,96153.0,
,97519.0,
