0,1,2
,0.0,3.0
,0.0,
5.0,,
28.0,0.0,3.0
,0.0,3.0
31.0,0.0,3.0
34.0,,3.0
39.0,0.0,3.0
43.0,0.0,
56.0,,
62.0,,
73.0,1.0,4.0
82.0,2.0,4.0
102.0,2.0,4.0
113.0,2.0,13.0
,2.0,13.0
142.0,,14.0
156.0,3.0,
194.0,4.0,
,5.0,
330.0,4.0,
396.0,,27.0
499.0,10.0,
,,40.0
657.0,12.0,43.0
727.0,,45.0
887.0,20.0,
987.0,,84.0
1024.0,,95.0
1251.0,,102.0
,35.0,
,58.0,148.0
,,191.0
,72.0,
3082.0,,229.0
3588.0,99.0,229.0
4778.0,,375.0
,150.0,
5916.0,178.0,
6725.0,226.0,620.0
7598.0,246.0,774.0
8446.0,288.0,969.0
9205.0,,1080.0
,358.0,1181.0
11487.0,393.0,1359.0
12322.0,405.0,
13430.0,448.0,
14352.0,486.0,2041.0
15722.0,521.0,2463.0
17615.0,,2854.0
18539.0,,3273.0
,645.0,3975.0
,681.0,
23077.0,721.0,5012.0
24530.0,,5498.0
,825.0,5939.0
,,6523.0
,,7137.0
31324.0,1008.0,
33062.0,1079.0,8437.0
,1154.0,9068.0
37257.0,,10007.0
39699.0,1323.0,
42505.0,,11775.0
46437.0,,12847.0
,1693.0,
52987.0,1785.0,15331.0
56351.0,,
,1985.0,17887.0
62808.0,2101.0,19301.0
,2212.0,
70768.0,,22549.0
74292.0,2415.0,24420.0
,2551.0,26400.0
81997.0,,27969.0
85784.0,2753.0,
90648.0,2871.0,34224.0
95698.0,,36795.0
100328.0,,39233.0
106475.0,3302.0,
,3434.0,
118226.0,3584.0,48553.0
124794.0,3726.0,51824.0
131423.0,,
138536.0,,57692.0
144950.0,,60706.0
150793.0,,64277.0
158086.0,,
,4711.0,
173491.0,4980.0,82627.0
181827.0,5185.0,86936.0
190609.0,5408.0,
198370.0,5608.0,
,,100285.0
,6088.0,104071.0
226713.0,,108450.0
236184.0,,
246622.0,6946.0,118695.0
257486.0,7207.0,123848.0
