0,1,2
,26.0,1.0
318.0,30.0,1.0
363.0,34.0,1.0
395.0,39.0,1.0
416.0,45.0,
480.0,57.0,1.0
,,
635.0,,16.0
,86.0,
,95.0,16.0
,,53.0
1065.0,138.0,394.0
1323.0,161.0,394.0
1414.0,183.0,
1595.0,209.0,537.0
,258.0,914.0
2281.0,317.0,989.0
2561.0,360.0,
2954.0,423.0,1301.0
4342.0,471.0,1333.0
,,
5897.0,650.0,1569.0
6848.0,753.0,1739.0
,846.0,1798.0
,952.0,2642.0
10303.0,,2869.0
11475.0,1200.0,
,1333.0,6120.0
,,
,1628.0,6684.0
15628.0,1786.0,6811.0
16325.0,,6968.0
,2199.0,
,,7027.0
,2664.0,7422.0
21648.0,2910.0,7496.0
25331.0,3198.0,7797.0
27517.0,3488.0,8088.0
28699.0,3793.0,8425.0
31190.0,4106.0,9179.0
,4450.0,10037.0
,4782.0,10405.0
40459.0,5181.0,
42534.0,5589.0,12434.0
45928.0,6004.0,13550.0
47372.0,6442.0,
51189.0,6871.0,15413.0
54817.0,7328.0,17527.0
58526.0,7809.0,18388.0
61847.0,8263.0,19012.0
65015.0,8740.0,20246.0
67307.0,,21349.0
68822.0,9778.0,22406.0
72059.0,10294.0,23324.0
76306.0,10760.0,24324.0
80604.0,11277.0,25151.0
,11824.0,27147.0
88541.0,,28272.0
92273.0,,28621.0
,13369.0,
99483.0,13984.0,36524.0
104020.0,,41968.0
,15056.0,43587.0
111698.0,,44848.0
,16101.0,47915.0
,16644.0,49795.0
123979.0,,
129751.0,17796.0,52906.0
135905.0,18340.0,56169.0
,18924.0,59442.0
148285.0,19609.0,
155671.0,,
164476.0,20710.0,67208.0
,,
178165.0,,69257.0
178914.0,22476.0,72319.0
,23025.0,76228.0
187400.0,23640.0,79214.0
,24225.0,
196515.0,,86219.0
199696.0,,89556.0
203736.0,26015.0,
208823.0,26610.0,98031.0
,,102429.0
,27825.0,107133.0
220749.0,,111724.0
229736.0,,
232992.0,29603.0,
,,125205.0
240908.0,30840.0,128622.0
,31443.0,131190.0
247925.0,31962.0,135520.0
251338.0,32574.0,143017.0
,33340.0,
257447.0,33694.0,145320.0
,34231.0,
,34779.0,151589.0
