Confirmed,Death,recovered
461,0,6
592,0,6
687,1,8
801,2,8
977,2,17
1197,3,22
1361,4,22
1665,5,43
2015,6,61
2245,7,75
2555,8,156
2844,12,156
3137,16,234
3510,18,335
3843,22,427
4355,27,528
4665,34,618
5009,37,728
5310,43,898
5740,48,1115
6166,57,1274
6695,65,1571
7366,73,1864
7652,80,2059
7964,82,2367
8356,92,2646
8712,94,2937
9246,105,3299
9691,116,3621
10598,126,4035
10956,133,4338
11375,139,4676
11700,147,4969
12164,160,5386
12680,168,5804
13174,174,6327
14537,181,6746
15010,189,7024
15492,198,7327
16044,207,7710
16564,216,8057
17702,227,8580
18687,234,9018
21213,247,9572
22441,260,10041
23421,270,10415
24794,275,10710
25826,281,11189
27359,285,11664
28750,294,12160
32208,304,12667
33855,312,13112
35052,323,13605
36710,335,14125
39370,346,14865
42029,368,15655
44531,394,16614
50016,421,18014
52369,450,19213
54647,478,20165
58167,509,21507
62205,544,22504
66169,589,23992
70445,630,25342
80287,673,26546
83996,718,28148
88891,761,29302
92855,806,30915
97183,841,33540
101837,890,36115
105532,944,38598
118720,997,40431
123550,1054,42727
129020,1113,44946
132548,1188,86173
137490,1275,90748
142154,1356,95631
146361,1448,99358
160351,1541,103817
166756,1637,108150
171452,2264,112248
175365,2283,117361
181062,2475,121780
186698,2648,126444
193452,2870,131358
201634,3101,137296
208572,3323,143704
213715,3362,148792
218728,3383,156232
220628,3615,181931
225103,3841,186441
231393,4093,191491
236748,4295,196609
242355,4479,200569
246963,4502,205397
250767,4505,210570
254416,4731,215093
259064,4903,219327
263360,5068,223431
267766,5347,228055
271982,5509,232210
275999,5575,236154
279393,5688,241229
282043,5753,245443
284541,5920,249247
288089,6051,253343
291847,6192,257451
295532,6308,261039
298557,6384,264378
301019,6434,268251
303083,6573,271741
306216,6682,274922
309274,6781,278053
312029,6881,281114
315041,6979,283902
317657,7024,286556
319493,7069,289220
321205,7186,292085
323698,7290,295301
326439,8347,296814
328846,8445,299449
330930,8503,301794
333029,8633,303992
334683,8677,306816
336402,8722,309241
338759,8838,311431
341304,8914,313696
343592,9020,316169
345790,9112,318095
347923,9187,319954
349800,9240,322332
351575,9278,324557
353536,9377,326628
355667,9457,328327
357658,9533,330507
359731,9608,332411
361493,9707,333976
362962,9745,336330
364723,9792,338291
366671,9889,340168
368825,9958,342168
371023,10011,344133
373056,10077,345826
375044,10139,347342
376616,10178,349541
378168,10205,351419
380034,10299,353131
382111,10340,355037
383902,10395,356951
385946,10452,358828
387502,10513,360385
388855,10546,362440
390037,10578,364285
391849,10671,366063
393769,10723,367897
395708,10792,369730
397665,10852,371179
399568,10916,372464
400985,10958,374463
402365,10990,376268
404102,11072,377922
405972,11132,379452
408009,11181,381183
409974,11244,382584
411726,11289,383879
413145,11321,385790
414739,11344,387683
416501,11422,389409
418469,11494,391248
420434,11551,392967
422510,11592,394399
424274,11652,395717
425541,11682,397730
427027,11702,399555
428669,11781,401356
430535,11850,403064
432666,11895,404919
434748,11949,406326
436433,12013,407725
437983,12040,409944
439287,12058,411853
441150,12142,413928
442827,12199,415981
444674,12254,418101
446274,12286,419746
447468,12298,421111
448523,12321,423176
449903,12345,425165
451634,12469,426876
453868,12527,428580
455979,12591,430259
457901,12641,431704
459671,12698,433016
461300,12725,434794
462991,12741,436589
464750,12822,438148
466590,12867,439607
468471,12919,440881
470179,12979,442070
471746,13037,443453
